name,age,salary,monthly_expenses,savings,investments,debt,assets,financial_goal,risk_appetite
Mekhala Lad,25,276000.0,9400.0,400000.0,613000.0,95000.0,1189000.0,2907000.0,aggressive
Aashi Sethi,51,1088000.0,65900.0,1579000.0,222000.0,106000.0,2507000.0,4100000.0,conservative
Anita Nagi,46,1254000.0,44600.0,1289000.0,1983000.0,213000.0,5360000.0,8266000.0,conservative
Rachita Shah,38,690000.0,45000.0,917000.0,1397000.0,353000.0,3435000.0,5171000.0,moderate
Vrinda Puri,38,780000.0,30600.0,535000.0,549000.0,381000.0,1933000.0,3367000.0,moderate
Rushil Patla,54,1657000.0,59400.0,836000.0,376000.0,1861000.0,7693000.0,3317000.0,moderate
Nandini Pall,25,358000.0,11500.0,98000.0,637000.0,51000.0,313000.0,2145000.0,conservative
Turvi Oommen,48,1310000.0,77000.0,125000.0,2369000.0,235000.0,2029000.0,7934000.0,moderate
Zinal Sarna,29,952000.0,35200.0,106000.0,891000.0,858000.0,3136000.0,2092000.0,moderate
Vivaan Kapur,25,381000.0,14300.0,401000.0,430000.0,10000.0,453000.0,3105000.0,moderate
Aayush Trivedi,42,1511000.0,54800.0,813000.0,207000.0,1180000.0,4471000.0,1649000.0,conservative
Alexander Morar,59,1940000.0,81300.0,249000.0,1721000.0,1740000.0,8720000.0,4160000.0,moderate
Yashoda Dey,49,745000.0,50900.0,158000.0,1973000.0,562000.0,3627000.0,3860000.0,moderate
Chatura Dhillon,50,870000.0,43000.0,883000.0,447000.0,300000.0,2327000.0,3362000.0,moderate
Logan Barad,49,930000.0,37200.0,1312000.0,1306000.0,116000.0,3426000.0,10110000.0,moderate
Jackson Chandran,51,975000.0,35400.0,626000.0,1980000.0,1163000.0,2941000.0,9296000.0,moderate
Geetika Wali,41,935000.0,28000.0,1101000.0,2252000.0,964000.0,1963000.0,9165000.0,moderate
Yachana Joshi,26,546000.0,24200.0,798000.0,133000.0,479000.0,973000.0,2333000.0,conservative
Charles Mittal,53,2149000.0,72500.0,2315000.0,3816000.0,482000.0,6599000.0,9799000.0,conservative
Qarin Gokhale,39,997000.0,30200.0,1095000.0,1876000.0,516000.0,1723000.0,8100000.0,moderate
Brinda Sangha,41,826000.0,27600.0,779000.0,489000.0,704000.0,3093000.0,2709000.0,aggressive
Pranav Palan,36,381000.0,16200.0,559000.0,35000.0,46000.0,240000.0,892000.0,moderate
Hamsini Shere,28,523000.0,31600.0,254000.0,1325000.0,601000.0,1879000.0,5704000.0,moderate
Benjamin Khanna,57,1539000.0,49200.0,1824000.0,2032000.0,1764000.0,3933000.0,12748000.0,moderate
Gaurangi Ramesh,51,1402000.0,80500.0,914000.0,256000.0,253000.0,573000.0,4503000.0,aggressive
Damini Batta,46,2383000.0,131100.0,656000.0,4132000.0,564000.0,10003000.0,12786000.0,aggressive
Tejas Om,37,1274000.0,84000.0,1430000.0,1441000.0,557000.0,3503000.0,7872000.0,aggressive
Ishwar Mukhopadhyay,53,1823000.0,67100.0,2284000.0,439000.0,986000.0,6698000.0,7902000.0,conservative
Kamala Sengupta,42,714000.0,44500.0,930000.0,615000.0,378000.0,442000.0,5725000.0,moderate
Urvi Ramesh,38,719000.0,46900.0,997000.0,705000.0,594000.0,558000.0,3429000.0,moderate
Arunima Chana,39,866000.0,60500.0,979000.0,1494000.0,489000.0,3804000.0,4133000.0,conservative
Tanish Misra,30,442000.0,27800.0,360000.0,535000.0,98000.0,1032000.0,2828000.0,moderate
Ekapad Chaudhari,25,483000.0,16600.0,682000.0,155000.0,151000.0,715000.0,2321000.0,conservative
Arya Mall,43,1173000.0,80500.0,415000.0,2236000.0,579000.0,3043000.0,7904000.0,moderate
Kashvi Barad,55,994000.0,62700.0,161000.0,2173000.0,619000.0,1846000.0,8678000.0,moderate
Divya Varghese,24,562000.0,21400.0,380000.0,855000.0,622000.0,2736000.0,4651000.0,conservative
Nilima Gulati,54,1472000.0,53100.0,1316000.0,280000.0,170000.0,1450000.0,3904000.0,moderate
Balveer Koshy,53,756000.0,51500.0,783000.0,234000.0,730000.0,2004000.0,3276000.0,conservative
Pushti Dixit,32,638000.0,22700.0,786000.0,1808000.0,238000.0,1060000.0,7083000.0,aggressive
Harshil Chokshi,46,1258000.0,77400.0,112000.0,715000.0,1098000.0,1039000.0,2390000.0,conservative
Udarsh Vasa,28,717000.0,33000.0,870000.0,661000.0,222000.0,2443000.0,5408000.0,moderate
Isaiah Chakraborty,50,1137000.0,67500.0,1046000.0,2345000.0,525000.0,779000.0,7457000.0,moderate
Balveer Gala,48,1617000.0,53400.0,2315000.0,3841000.0,860000.0,2220000.0,10642000.0,moderate
Gunbir Mannan,35,806000.0,47900.0,447000.0,2203000.0,726000.0,1964000.0,8495000.0,moderate
Aryan Vasa,24,234000.0,11800.0,221000.0,277000.0,47000.0,496000.0,1127000.0,aggressive
Onkar Dubey,58,951000.0,63400.0,1105000.0,2831000.0,395000.0,4330000.0,8834000.0,moderate
Krishna Bhalla,38,1274000.0,47200.0,1018000.0,397000.0,808000.0,4147000.0,2565000.0,conservative
Turvi Krishna,55,2211000.0,74600.0,610000.0,5482000.0,1745000.0,767000.0,23632000.0,aggressive
Neha Grewal,47,1316000.0,49100.0,161000.0,1074000.0,120000.0,942000.0,4428000.0,moderate
Ekansh Narain,51,2220000.0,72000.0,470000.0,6241000.0,252000.0,6507000.0,22330000.0,conservative
Nimrat Hayre,50,1853000.0,129700.0,1422000.0,4832000.0,1598000.0,2089000.0,17876000.0,moderate
Eta Kamdar,29,692000.0,23700.0,676000.0,1582000.0,304000.0,677000.0,3552000.0,conservative
Jonathan Date,35,549000.0,20600.0,482000.0,994000.0,109000.0,2711000.0,5797000.0,moderate
Ati Jha,39,1641000.0,103200.0,1778000.0,1056000.0,518000.0,5821000.0,5641000.0,moderate
Yashasvi Ahuja,40,1122000.0,44300.0,120000.0,1555000.0,805000.0,1697000.0,5507000.0,conservative
Raksha Bala,23,293000.0,11300.0,73000.0,31000.0,335000.0,41000.0,298000.0,moderate
Megha Khosla,42,791000.0,45200.0,913000.0,1683000.0,695000.0,3145000.0,5719000.0,conservative
Janya Arora,27,520000.0,23800.0,615000.0,181000.0,497000.0,1501000.0,2103000.0,moderate
Tanveer Sekhon,50,713000.0,45600.0,762000.0,552000.0,521000.0,1110000.0,3865000.0,aggressive
